Nodes;Threads;Dimension;Time
1;1;240;0.02097
1;1;280;0.03312
1;1;320;0.04927
1;1;360;0.06979
1;1;400;0.09579
1;1;440;0.12763
1;1;480;0.16519
1;1;520;0.21013
1;2;240;0.01291
1;2;280;0.01975
1;2;320;0.02879
1;2;360;0.03995
1;2;400;0.05246
1;2;440;0.06809
1;2;480;0.08933
1;2;520;0.10997
1;4;240;0.00975
1;4;280;0.01264
1;4;320;0.01706
1;4;360;0.02344
1;4;400;0.03172
1;4;440;0.04038
1;4;480;0.04837
1;4;520;0.05932
1;8;240;0.00999
1;8;280;0.01093
1;8;320;0.01319
1;8;360;0.01713
1;8;400;0.02223
1;8;440;0.03368
1;8;480;0.03010
1;8;520;0.03994
4;1;240;0.00195
4;1;280;0.00249
4;1;320;0.00316
4;1;360;0.00404
4;1;400;0.00498
4;1;440;0.00619
4;1;480;0.00764
4;1;520;0.00921
4;2;240;0.00222
4;2;280;0.00249
4;2;320;0.00337
4;2;360;0.00407
4;2;400;0.00467
4;2;440;0.00618
4;2;480;0.00797
4;2;520;0.00923
4;4;240;0.00218
4;4;280;0.00279
4;4;320;0.00333
4;4;360;0.00404
4;4;400;0.00509
4;4;440;0.00523
4;4;480;0.00659
4;4;520;0.00805
4;8;240;0.00254
4;8;280;0.00298
4;8;320;0.00358
4;8;360;0.00394
4;8;400;0.00457
4;8;440;0.00640
4;8;480;0.00652
4;8;520;0.00967
