Nodes;Threads;Dimension;Time
1;1;240;0.02098
1;1;280;0.03315
1;1;320;0.04930
1;1;360;0.06976
1;1;400;0.09580
1;1;440;0.12748
1;1;480;0.16532
1;1;520;0.21004
1;2;240;0.01507
1;2;280;0.01925
1;2;320;0.03052
1;2;360;0.03903
1;2;400;0.05378
1;2;440;0.07026
1;2;480;0.09035
1;2;520;0.11161
1;4;240;0.01164
1;4;280;0.01373
1;4;320;0.01960
1;4;360;0.02440
1;4;400;0.03254
1;4;440;0.03880
1;4;480;0.05065
1;4;520;0.06180
1;8;240;0.00930
1;8;280;0.01267
1;8;320;0.01391
1;8;360;0.01618
1;8;400;0.02062
1;8;440;0.02460
1;8;480;0.03286
1;8;520;0.03945
4;1;960;0.04766
4;1;1120;0.07218
4;1;1280;0.10483
4;1;1440;0.14871
4;1;1600;0.20286
4;1;1760;0.27128
4;1;1920;0.34780
4;1;2080;0.44825
4;2;960;0.03220
4;2;1120;0.04187
4;2;1280;0.06111
4;2;1440;0.08187
4;2;1600;0.11080
4;2;1760;0.14628
4;2;1920;0.18846
4;2;2080;0.23822
4;4;960;0.02980
4;4;1120;0.04117
4;4;1280;0.06010
4;4;1440;0.08306
4;4;1600;0.11468
4;4;1760;0.14806
4;4;1920;0.19166
4;4;2080;0.24742
4;8;960;0.02963
4;8;1120;0.04160
4;8;1280;0.06012
4;8;1440;0.08332
4;8;1600;0.11353
4;8;1760;0.14647
4;8;1920;0.19124
4;8;2080;0.25114
