
Nodes;Threads;Dimension;Time
1;1;240;0.02
Nodes;Threads;Dimension;Time
1;1;280;0.03
Nodes;Threads;Dimension;Time
1;1;320;0.05
Nodes;Threads;Dimension;Time
1;1;360;0.07
Nodes;Threads;Dimension;Time
1;1;400;0.10
Nodes;Threads;Dimension;Time
1;1;440;0.13
Nodes;Threads;Dimension;Time
1;1;480;0.17
Nodes;Threads;Dimension;Time
1;1;520;0.21
Nodes;Threads;Dimension;Time
1;2;240;0.01
Nodes;Threads;Dimension;Time
1;2;280;0.02
Nodes;Threads;Dimension;Time
1;2;320;0.03
Nodes;Threads;Dimension;Time
1;2;360;0.04
Nodes;Threads;Dimension;Time
1;2;400;0.05
Nodes;Threads;Dimension;Time
1;2;440;0.07
Nodes;Threads;Dimension;Time
1;2;480;0.09
Nodes;Threads;Dimension;Time
1;2;520;0.11
Nodes;Threads;Dimension;Time
1;4;240;0.01
Nodes;Threads;Dimension;Time
1;4;280;0.01
Nodes;Threads;Dimension;Time
1;4;320;0.02
Nodes;Threads;Dimension;Time
1;4;360;0.03
Nodes;Threads;Dimension;Time
1;4;400;0.03
Nodes;Threads;Dimension;Time
1;4;440;0.04
Nodes;Threads;Dimension;Time
1;4;480;0.05
Nodes;Threads;Dimension;Time
1;4;520;0.06
Nodes;Threads;Dimension;Time
1;8;240;0.01
Nodes;Threads;Dimension;Time
1;8;280;0.01
Nodes;Threads;Dimension;Time
1;8;320;0.01
Nodes;Threads;Dimension;Time
1;8;360;0.02
Nodes;Threads;Dimension;Time
1;8;400;0.02
Nodes;Threads;Dimension;Time
1;8;440;0.03
Nodes;Threads;Dimension;Time
1;8;480;0.03
Nodes;Threads;Dimension;Time
1;8;520;0.04
Nodes;Threads;Dimension;Time
4;1;960;0.05
Nodes;Threads;Dimension;Time
4;1;1120;0.07
Nodes;Threads;Dimension;Time
4;1;1280;0.10
Nodes;Threads;Dimension;Time
4;1;1440;0.15
Nodes;Threads;Dimension;Time
4;1;1600;0.21
Nodes;Threads;Dimension;Time
4;1;1760;0.27
Nodes;Threads;Dimension;Time
4;1;1920;0.35
Nodes;Threads;Dimension;Time
4;1;2080;0.44
Nodes;Threads;Dimension;Time
4;2;960;0.03
Nodes;Threads;Dimension;Time
4;2;1120;0.04
Nodes;Threads;Dimension;Time
4;2;1280;0.06
Nodes;Threads;Dimension;Time
4;2;1440;0.09
Nodes;Threads;Dimension;Time
4;2;1600;0.11
Nodes;Threads;Dimension;Time
4;2;1760;0.15
Nodes;Threads;Dimension;Time
4;2;1920;0.19
Nodes;Threads;Dimension;Time
4;2;2080;0.24
Nodes;Threads;Dimension;Time
4;4;960;0.03
Nodes;Threads;Dimension;Time
4;4;1120;0.04
Nodes;Threads;Dimension;Time
4;4;1280;0.06
Nodes;Threads;Dimension;Time
4;4;1440;0.09
Nodes;Threads;Dimension;Time
4;4;1600;0.12
Nodes;Threads;Dimension;Time
4;4;1760;0.15
Nodes;Threads;Dimension;Time
4;4;1920;0.19
Nodes;Threads;Dimension;Time
4;4;2080;0.25
Nodes;Threads;Dimension;Time
4;8;960;0.03
Nodes;Threads;Dimension;Time
4;8;1120;0.04
Nodes;Threads;Dimension;Time
4;8;1280;0.06
Nodes;Threads;Dimension;Time
4;8;1440;0.11
Nodes;Threads;Dimension;Time
4;8;1600;0.12
Nodes;Threads;Dimension;Time
4;8;1760;0.15
Nodes;Threads;Dimension;Time
4;8;1920;0.19
Nodes;Threads;Dimension;Time
4;8;2080;0.25
